"","pct_Intrans"
"258",21.140350877193
"259",22.6315789473684
"260",21.140350877193
"261",23.1578947368421
"262",21.8421052631579
"263",24.5614035087719
"264",24.5614035087719
"265",21.6666666666667
"266",22.4561403508772
"267",20.9649122807018
"268",19.9122807017544
"269",20.0877192982456
"270",20.6140350877193
"271",22.0175438596491
"272",21.4912280701754
"273",21.2280701754386
"274",22.8070175438596
"275",21.6666666666667
"276",20.5263157894737
"277",22.8070175438596
"278",19.0350877192982
"279",24.3859649122807
"280",20.7017543859649
"281",21.8421052631579
"282",22.6315789473684
"283",19.8245614035088
"284",20.0877192982456
"285",22.8947368421053
"286",21.5789473684211
"287",22.4561403508772
"288",22.1052631578947
"289",22.8947368421053
"290",21.4035087719298
"291",21.4035087719298
"292",23.4210526315789
"293",25.2631578947368
"294",18.5964912280702
